externalId,lat,lng,prefectureSlug,address,sourceUrl
osm:w711492099,34.5238072,133.7522747,okayama,,https://www.openstreetmap.org/way/711492099
osm:w722604997,34.9773157,136.9728101,aichi,,https://www.openstreetmap.org/way/722604997
osm:w722605000,34.98403,136.9744056,aichi,,https://www.openstreetmap.org/way/722605000
osm:w741069491,36.6448534,138.1983212,nagano,,https://www.openstreetmap.org/way/741069491
osm:w743212649,37.2190737,141.002204,fukushima,,https://www.openstreetmap.org/way/743212649
osm:w751249574,35.8414096,140.7124662,ibaraki,,https://www.openstreetmap.org/way/751249574
osm:w751763439,35.0468582,135.9950084,shiga,,https://www.openstreetmap.org/way/751763439
osm:w767908971,34.9109016,135.7846267,kyoto,,https://www.openstreetmap.org/way/767908971
osm:w768438812,36.2672296,139.5094727,saitama,,https://www.openstreetmap.org/way/768438812
osm:w772768927,34.9188296,135.7913605,kyoto,,https://www.openstreetmap.org/way/772768927
osm:w773796391,34.4025242,133.18552,hiroshima,,https://www.openstreetmap.org/way/773796391
osm:w776400364,36.058112,139.658702,saitama,,https://www.openstreetmap.org/way/776400364
osm:w777707139,33.5173707,130.4536819,fukuoka,,https://www.openstreetmap.org/way/777707139
osm:w792589080,39.935269,140.1049744,akita,,https://www.openstreetmap.org/way/792589080
osm:w801501719,39.8871986,139.8504299,akita,,https://www.openstreetmap.org/way/801501719
osm:w803405092,40.2844267,140.5456506,aomori,,https://www.openstreetmap.org/way/803405092
osm:w806281306,34.0534847,133.0101936,ehime,,https://www.openstreetmap.org/way/806281306
osm:w806333170,34.0303072,133.0373186,ehime,,https://www.openstreetmap.org/way/806333170
osm:w806342539,34.0339607,133.0000063,ehime,,https://www.openstreetmap.org/way/806342539
osm:w806348522,34.0576769,133.0081389,ehime,,https://www.openstreetmap.org/way/806348522
osm:w814801219,40.2194564,140.7897946,aomori,,https://www.openstreetmap.org/way/814801219
osm:w832589424,32.819963,129.8471319,nagasaki,,https://www.openstreetmap.org/way/832589424
osm:w840182940,34.7676932,135.6311292,osaka,,https://www.openstreetmap.org/way/840182940
osm:w864651679,35.3221323,139.6099229,kanagawa,,https://www.openstreetmap.org/way/864651679
osm:w868366683,37.6611779,139.0479345,niigata,,https://www.openstreetmap.org/way/868366683
osm:w884614468,26.2591712,127.747462,okinawa,,https://www.openstreetmap.org/way/884614468
osm:w893387478,40.6138735,140.4893938,aomori,,https://www.openstreetmap.org/way/893387478
osm:w920120162,32.9619597,131.8668071,oita,,https://www.openstreetmap.org/way/920120162
osm:w920661284,33.3223802,130.9256654,fukuoka,,https://www.openstreetmap.org/way/920661284
osm:w927401593,36.2183744,137.9794167,nagano,,https://www.openstreetmap.org/way/927401593
